Zusammenfassung,Vorgangsschlüssel,Vorgangs-ID,Vorgangstyp,Status,Projektschlüssel,Projektname,Projekttyp,Projektleiter,ID des Projektleiters,Projektbeschreibung,Priorität,Lösung,Zugewiesene Person,ID der zugewiesenen Person,Autor,ID des Autors,Ersteller,Ersteller-ID,Erstellt,Aktualisiert,Zuletzt angezeigt,Erledigt,Fälligkeitsdatum,Stimmen,Beschreibung,Umgebung,Beobachter,ID des Beobachters,Ursprüngliche Schätzung,Verbleibende Schätzung,Benötigte Zeit,Verhältnis tatsächlicher zu geschätzter Arbeit,Σ Ursprüngliche Schätzung,Σ Verbleibende Schätzung,Σ Benötigte Zeit,Sicherheitsstufe,Benutzerdefinierte Felder (Issue color),Benutzerdefinierte Felder (Rank),Benutzerdefinierte Felder (Start date),Benutzerdefinierte Felder (Team),Benutzerdefinierte Felder (Vulnerability),Benutzerdefinierte Felder (development),Statuskategorie,Statuskategorie geändert,Übergeordnet,Übergeordneter Schlüssel,Parent summary
EPIC 1 - Authentication & User Managment,RSTFTNG-1,10016,Epic,In Arbeit,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 4:39 PM,16/Jan/26 5:12 PM,16/Jan/26 6:53 PM,,,0,"Alle Funktionene zur Anmeldung, Autorisierung und Benutzervewaltung.",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,dark_orange,0|i0003j:,,,,,In Arbeit,16/Jan/26 5:03 PM,,,
EPIC 2 - Mengenmeldung erfassen,RSTFTNG-6,10023,Epic,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:11 PM,16/Jan/26 5:12 PM,16/Jan/26 5:51 PM,,,0,Erfassung einer neuen Mengenmeldung inkl. Validierung und Backend-Verarbeitung.,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,dark_blue,0|i00047:,,,,,Zu erledigen,16/Jan/26 5:11 PM,,,
EPIC 3 - Mengenmeldungen anzeigen,RSTFTNG-7,10024,Epic,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:13 PM,16/Jan/26 5:13 PM,16/Jan/26 6:22 PM,,,0,"Anzeige, Filterung, nach bestemten Text suchen, und Statusdarstellung der Mengenmeldungen.",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,dark_grey,0|i0004f:,,,,,Zu erledigen,16/Jan/26 5:13 PM,,,
EPIC 4 - Qualität & Tests [FE und BE],RSTFTNG-8,10025,Epic,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:14 PM,16/Jan/26 6:38 PM,16/Jan/26 6:46 PM,,,0,Sicherstellung der Softwarequalität durch automatisierte Tests.,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,dark_purple,0|i0004n:,,,,,Zu erledigen,16/Jan/26 5:14 PM,,,
Backend Tests,RSTFTNG-42,10093,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:38 PM,16/Jan/26 6:38 PM,16/Jan/26 6:40 PM,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000c7:,,,,,Zu erledigen,16/Jan/26 6:38 PM,10025,RSTFTNG-8,EPIC 4 - Qualität & Tests [FE und BE]
Benutzer abmelden,RSTFTNG-15,10039,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:49 PM,16/Jan/26 5:50 PM,16/Jan/26 5:50 PM,,,0,"Als Benutzer möchte ich mich abmelden, damit meine Sitzung sicher beendet wird.",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i00067:,,,,,Zu erledigen,16/Jan/26 5:49 PM,10016,RSTFTNG-1,EPIC 1 - Authentication & User Managment
Benutzer anmelden,RSTFTNG-4,10021,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 4:54 PM,16/Jan/26 5:17 PM,16/Jan/26 5:39 PM,,,0,"Als Benutzer möchte ich mich mit Benutzername und Passwort anmelden, um auf das System zugreifen zu können.



Akzeptanzkriterien:

* Login über REST API
* JWT wird generiert
* Fehler bei falschen Credentials anzuzeigen",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0003n:,,,,,Zu erledigen,16/Jan/26 4:54 PM,10016,RSTFTNG-1,EPIC 1 - Authentication & User Managment
E2E Tests,RSTFTNG-51,10111,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:42 PM,16/Jan/26 6:42 PM,16/Jan/26 6:42 PM,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000e7:,,,,,Zu erledigen,16/Jan/26 6:42 PM,10025,RSTFTNG-8,EPIC 4 - Qualität & Tests [FE und BE]
FE Tests,RSTFTNG-47,10103,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:40 PM,16/Jan/26 6:40 PM,16/Jan/26 6:40 PM,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000db:,,,,,Zu erledigen,16/Jan/26 6:40 PM,10025,RSTFTNG-8,EPIC 4 - Qualität & Tests [FE und BE]
Fehlermeldungen anzeigen,RSTFTNG-38,10085,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:36 PM,16/Jan/26 6:36 PM,16/Jan/26 6:37 PM,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000bb:,,,,,Zu erledigen,16/Jan/26 6:36 PM,10024,RSTFTNG-7,EPIC 3 - Mengenmeldungen anzeigen
Mengenmeldung Formular,RSTFTNG-19,10047,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:51 PM,16/Jan/26 5:54 PM,16/Jan/26 6:21 PM,,,0,"Als Benutzer möchte ich eine Mengenmeldung abgeben, um meine Daten zu übermitteln.

Akzeptanzkriterien*:*

* Pflichtfelder validiert
* Zeitraum korrekt formatiert (YYYY-MM) [Hart]
* Submit nur bei gültigem Formular
* Regiestrierungsnummer ist [12345678] [um SOAP service erfolgerich zu testen]",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i00073:,,,,,Zu erledigen,16/Jan/26 5:51 PM,10023,RSTFTNG-6,EPIC 2 - Mengenmeldung erfassen
Mengenmeldung speichern,RSTFTNG-24,10057,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:59 PM,16/Jan/26 5:59 PM,16/Jan/26 6:21 PM,,,0,"Als System möchte ich Mengenmeldungen persistieren, um sie später anzeigen zu können.",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i00087:,,,,,Zu erledigen,16/Jan/26 5:59 PM,10023,RSTFTNG-6,EPIC 2 - Mengenmeldung erfassen
Mengenmeldungen anzeigen,RSTFTNG-32,10073,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:17 PM,16/Jan/26 6:17 PM,16/Jan/26 6:22 PM,,,0,"Als Benutzer möchte ich meine Mengenmeldungen sehen, um deren Status zu prüfen.",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0009z:,,,,,Zu erledigen,16/Jan/26 6:17 PM,10024,RSTFTNG-7,EPIC 3 - Mengenmeldungen anzeigen
Suche & Filter,RSTFTNG-36,10081,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:19 PM,16/Jan/26 6:19 PM,16/Jan/26 6:32 PM,,,0,"Als Benutzer möchte ich Mengenmeldungen durchsuchen, um schnell relevante Einträge zu finden",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000av:,,,,,Zu erledigen,16/Jan/26 6:19 PM,10024,RSTFTNG-7,EPIC 3 - Mengenmeldungen anzeigen
Zugriff absichern,RSTFTNG-11,10031,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:47 PM,16/Jan/26 5:49 PM,16/Jan/26 5:48 PM,,,0,"Als System möchte ich geschützte Endpunkte absichern, damit nur authentifizierte Benutzer zugreifen können.",,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0005b:,,,,,Zu erledigen,16/Jan/26 5:47 PM,10016,RSTFTNG-1,EPIC 1 - Authentication & User Managment
Übermittlung an externes System,RSTFTNG-28,10065,Story,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:09 PM,16/Jan/26 6:10 PM,16/Jan/26 6:21 PM,,,0,Als System möchte ich Mengenmeldungen an ein externes SOAP-System senden.,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i00093:,,,,,Zu erledigen,16/Jan/26 6:09 PM,10023,RSTFTNG-6,EPIC 2 - Mengenmeldung erfassen
[ng] - Component Tests,RSTFTNG-48,10105,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:41 PM,16/Jan/26 6:41 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000dj:,,,,,Zu erledigen,16/Jan/26 6:41 PM,10103,RSTFTNG-47,FE Tests
[ng] - Form Tests,RSTFTNG-50,10109,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:41 PM,16/Jan/26 6:41 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000dz:,,,,,Zu erledigen,16/Jan/26 6:41 PM,10103,RSTFTNG-47,FE Tests
[ng] - Service Mocks,RSTFTNG-49,10107,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:41 PM,16/Jan/26 6:41 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000dr:,,,,,Zu erledigen,16/Jan/26 6:41 PM,10103,RSTFTNG-47,FE Tests
Auth Guard im FE,RSTFTNG-14,10037,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:49 PM,16/Jan/26 5:49 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0005z:,,,,,Zu erledigen,16/Jan/26 5:49 PM,10031,RSTFTNG-11,Zugriff absichern
Backend ErrorMessage speichern,RSTFTNG-39,10087,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:37 PM,16/Jan/26 6:37 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000bj:,,,,,Zu erledigen,16/Jan/26 6:37 PM,10085,RSTFTNG-38,Fehlermeldungen anzeigen
Controller Tests,RSTFTNG-44,10097,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:39 PM,16/Jan/26 6:39 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000cn:,,,,,Zu erledigen,16/Jan/26 6:39 PM,10093,RSTFTNG-42,Backend Tests
Fehlerhandling mit Rückgabe,RSTFTNG-30,10069,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:10 PM,16/Jan/26 6:10 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0009j:,,,,,Zu erledigen,16/Jan/26 6:10 PM,10065,RSTFTNG-28,Übermittlung an externes System
Formularvalidierung,RSTFTNG-21,10051,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:55 PM,16/Jan/26 5:55 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0007j:,,,,,Zu erledigen,16/Jan/26 5:55 PM,10047,RSTFTNG-19,Mengenmeldung Formular
