Zusammenfassung,Vorgangsschlüssel,Vorgangs-ID,Vorgangstyp,Status,Projektschlüssel,Projektname,Projekttyp,Projektleiter,ID des Projektleiters,Projektbeschreibung,Priorität,Lösung,Zugewiesene Person,ID der zugewiesenen Person,Autor,ID des Autors,Ersteller,Ersteller-ID,Erstellt,Aktualisiert,Zuletzt angezeigt,Erledigt,Fälligkeitsdatum,Stimmen,Beschreibung,Umgebung,Beobachter,ID des Beobachters,Ursprüngliche Schätzung,Verbleibende Schätzung,Benötigte Zeit,Verhältnis tatsächlicher zu geschätzter Arbeit,Σ Ursprüngliche Schätzung,Σ Verbleibende Schätzung,Σ Benötigte Zeit,Sicherheitsstufe,Benutzerdefinierte Felder (Issue color),Benutzerdefinierte Felder (Rank),Benutzerdefinierte Felder (Start date),Benutzerdefinierte Felder (Team),Benutzerdefinierte Felder (Vulnerability),Benutzerdefinierte Felder (development),Statuskategorie,Statuskategorie geändert,Übergeordnet,Übergeordneter Schlüssel,Parent summary
Frontend Login-Formular und Routing,RSTFTNG-10,10029,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:45 PM,16/Jan/26 5:46 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i00053:,,,,,Zu erledigen,16/Jan/26 5:45 PM,10021,RSTFTNG-4,Benutzer anmelden
Header Logout Button,RSTFTNG-18,10045,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:51 PM,16/Jan/26 5:51 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0006v:,,,,,Zu erledigen,16/Jan/26 5:51 PM,10039,RSTFTNG-15,Benutzer abmelden
Integration Tests mit in-memory DB [H2],RSTFTNG-45,10099,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:39 PM,16/Jan/26 6:40 PM,16/Jan/26 6:40 PM,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000cv:,,,,,Zu erledigen,16/Jan/26 6:39 PM,10093,RSTFTNG-42,Backend Tests
JWT Filter implementieren,RSTFTNG-12,10033,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:48 PM,16/Jan/26 5:48 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0005j:,,,,,Zu erledigen,16/Jan/26 5:48 PM,10031,RSTFTNG-11,Zugriff absichern
JWT Utility erstellen & Security configurieren ,RSTFTNG-9,10027,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:42 PM,16/Jan/26 5:43 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0004v:,,,,,Zu erledigen,16/Jan/26 5:42 PM,10021,RSTFTNG-4,Benutzer anmelden
Login E2E,RSTFTNG-53,10115,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:43 PM,16/Jan/26 6:43 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000en:,,,,,Zu erledigen,16/Jan/26 6:43 PM,10111,RSTFTNG-51,E2E Tests
Login REST Endpoint implementieren,RSTFTNG-5,10022,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 4:58 PM,16/Jan/26 5:17 PM,16/Jan/26 5:39 PM,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0003z:,,,,,Zu erledigen,16/Jan/26 4:58 PM,10021,RSTFTNG-4,Benutzer anmelden
Menegenmeldung Service Logic implementieren,RSTFTNG-27,10063,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:02 PM,16/Jan/26 6:02 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0008v:,,,,,Zu erledigen,16/Jan/26 6:02 PM,10057,RSTFTNG-24,Mengenmeldung speichern
Mengenmeldung Entity erstellen,RSTFTNG-25,10059,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:00 PM,16/Jan/26 6:00 PM,16/Jan/26 6:08 PM,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0008f:,,,,,Zu erledigen,16/Jan/26 6:00 PM,10057,RSTFTNG-24,Mengenmeldung speichern
Mengenmeldung Formular E2E,RSTFTNG-54,10117,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:43 PM,16/Jan/26 6:43 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000ev:,,,,,Zu erledigen,16/Jan/26 6:43 PM,10111,RSTFTNG-51,E2E Tests
Mengenmeldung List & Search Filter E2E,RSTFTNG-55,10119,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:44 PM,16/Jan/26 6:44 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000f3:,,,,,Zu erledigen,16/Jan/26 6:44 PM,10111,RSTFTNG-51,E2E Tests
Mengenmeldung List REST GET Endpoint,RSTFTNG-33,10075,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:17 PM,16/Jan/26 6:17 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000a7:,,,,,Zu erledigen,16/Jan/26 6:17 PM,10073,RSTFTNG-32,Mengenmeldungen anzeigen
Playwright Setup & Configuration,RSTFTNG-52,10113,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:43 PM,16/Jan/26 6:43 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000ef:,,,,,Zu erledigen,16/Jan/26 6:43 PM,10111,RSTFTNG-51,E2E Tests
Popover[Button] im Frontend,RSTFTNG-40,10089,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:37 PM,16/Jan/26 6:37 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000br:,,,,,Zu erledigen,16/Jan/26 6:37 PM,10085,RSTFTNG-38,Fehlermeldungen anzeigen
Reactive Form erstellen [ng],RSTFTNG-20,10049,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:55 PM,16/Jan/26 5:55 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0007b:,,,,,Zu erledigen,16/Jan/26 5:55 PM,10047,RSTFTNG-19,Mengenmeldung Formular
Redirect auf Login,RSTFTNG-17,10043,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:50 PM,16/Jan/26 5:50 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0006n:,,,,,Zu erledigen,16/Jan/26 5:50 PM,10039,RSTFTNG-15,Benutzer abmelden
Repository und Mapper [DTO - Entity] implementieren ,RSTFTNG-26,10061,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:01 PM,16/Jan/26 6:01 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0008n:,,,,,Zu erledigen,16/Jan/26 6:01 PM,10057,RSTFTNG-24,Mengenmeldung speichern
Security Configuration,RSTFTNG-13,10035,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:48 PM,16/Jan/26 5:48 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0005r:,,,,,Zu erledigen,16/Jan/26 5:48 PM,10031,RSTFTNG-11,Zugriff absichern
SOAP Client integrieren,RSTFTNG-29,10067,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:10 PM,16/Jan/26 6:10 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0009b:,,,,,Zu erledigen,16/Jan/26 6:10 PM,10065,RSTFTNG-28,Übermittlung an externes System
Status-Update (NEW / SENT / FAILED),RSTFTNG-31,10071,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:11 PM,16/Jan/26 6:11 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0009r:,,,,,Zu erledigen,16/Jan/26 6:11 PM,10065,RSTFTNG-28,Übermittlung an externes System
Statusanzeige (Buttons),RSTFTNG-35,10079,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:18 PM,16/Jan/26 6:18 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000an:,,,,,Zu erledigen,16/Jan/26 6:18 PM,10073,RSTFTNG-32,Mengenmeldungen anzeigen
Submit Logik,RSTFTNG-22,10053,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:58 PM,16/Jan/26 5:58 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0007r:,,,,,Zu erledigen,16/Jan/26 5:58 PM,10047,RSTFTNG-19,Mengenmeldung Formular
Suchfeld & Client-side Filterlogik ,RSTFTNG-37,10083,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:20 PM,16/Jan/26 6:20 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000b3:,,,,,Zu erledigen,16/Jan/26 6:20 PM,10081,RSTFTNG-36,Suche & Filter
Tabelle für Frontend erstellen,RSTFTNG-34,10077,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:18 PM,16/Jan/26 6:18 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000af:,,,,,Zu erledigen,16/Jan/26 6:18 PM,10073,RSTFTNG-32,Mengenmeldungen anzeigen
Testcontainers (Postgres),RSTFTNG-46,10101,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:39 PM,16/Jan/26 6:39 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000d3:,,,,,Zu erledigen,16/Jan/26 6:39 PM,10093,RSTFTNG-42,Backend Tests
Token löschen FE,RSTFTNG-16,10041,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:50 PM,16/Jan/26 5:50 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0006f:,,,,,Zu erledigen,16/Jan/26 5:50 PM,10039,RSTFTNG-15,Benutzer abmelden
Unit Tests für Services,RSTFTNG-43,10095,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:39 PM,16/Jan/26 6:39 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000cf:,,,,,Zu erledigen,16/Jan/26 6:39 PM,10093,RSTFTNG-42,Backend Tests
UX Feedback (Diable Button und Toast anzeigen),RSTFTNG-23,10055,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 5:59 PM,16/Jan/26 5:59 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i0007z:,,,,,Zu erledigen,16/Jan/26 5:59 PM,10047,RSTFTNG-19,Mengenmeldung Formular
UX Handling (disabled wenn leer),RSTFTNG-41,10091,Subtask,Zu erledigen,RSTFTNG,Mengenmeldung System,software,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,Medium,,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,16/Jan/26 6:38 PM,16/Jan/26 6:38 PM,,,,0,,,Abdallah Eid,712020:e24eb846-33ea-4b4e-89e6-b60a76f6845b,,,,,,,,,,0|i000bz:,,,,,Zu erledigen,16/Jan/26 6:38 PM,10085,RSTFTNG-38,Fehlermeldungen anzeigen
